"county","year","age_group","total_pop","at_risk"
"Elgeyo-Marakwet",2028,"0-4",63298,35866
"Baringo",2000,"55-59",5835,5288
"Nyeri",2057,"30-34",85351,62829
"Nyamira",2003,"20-24",54213,54213
"Nakuru",2076,"55-59",251763,185082
"Kericho",2071,"65-69",57543,53225
"Laikipia",2008,"65-69",2982,1566
"Bomet",2010,"15-19",83969,81211
"Homa Bay",2047,"45-49",77796,77790
"Kwale",2014,"75-79",3081,2821
"Migori",2072,"25-29",115904,115903
"Homa Bay",2018,"85-89",1598,1598
"Embu",2009,"30-34",39297,39297
"Kwale",2093,"45-49",70405,59413
"Kericho",2057,"60-64",52225,47838
"Nyamira",2063,"20-24",107893,107893
"Kericho",2014,"0-4",140423,126296
"Nairobi",2036,"0-4",902734,15419
"Kisii",2058,"5-9",281959,281959
"Nyandarua",2038,"60-64",20698,192
"Wajir",2087,"10-14",162176,162149
"Embu",2016,"85-89",851,851
"Marsabit",2021,"50-54",11106,10713
"Kisii",2088,"5-9",314457,314457
"Trans Nzoia",2051,"90-94",1541,1519
"Kitui",2016,"30-34",84487,84487
"Elgeyo-Marakwet",2068,"45-49",32137,18209
"Meru",2075,"30-34",230235,220413
"Garissa",2032,"95+",322,321
"Tana River",2075,"90-94",837,828
"Wajir",2094,"45-49",151485,151462
"West Pokot",2034,"10-14",89890,78839
"Bungoma",2015,"75-79",7729,7676
"Nyeri",2066,"95+",457,347
"Nyandarua",2061,"85-89",3419,30
"Mombasa",2039,"55-59",76900,44616
"Kisumu",2019,"15-19",129214,129213
"Migori",2038,"80-84",4993,4993
"Bomet",2017,"45-49",34962,33830
"Lamu",2060,"40-44",13629,11865
"Tharaka-Nithi",2096,"55-59",30065,30045
"Homa Bay",2070,"10-14",108052,108046
"Siaya",2096,"50-54",61760,61757
"Embu",2093,"45-49",48598,48598
"Migori",2082,"65-69",62343,62343
"Busia",2061,"30-34",105932,105932
"Nyandarua",2086,"0-4",53537,404
"Bomet",2061,"75-79",17530,16987
"Nandi",2033,"30-34",92550,92549
"Nairobi",2095,"60-64",1393788,13547
"Siaya",2008,"35-39",45536,45536
"Kisumu",2078,"40-44",179206,179205
"West Pokot",2078,"90-94",2058,1824
"Nyeri",2073,"70-74",32056,24760
"Taita Taveta",2035,"0-4",55598,55598
"Baringo",2056,"25-29",78285,71727
"Tana River",2043,"35-39",33701,33287
"Homa Bay",2057,"85-89",4707,4707
"Kitui",2043,"95+",279,279
"Embu",2049,"75-79",8457,8457
"Makueni",2055,"35-39",89048,89048
"Vihiga",2069,"35-39",196620,196620
"Kajiado",2056,"30-34",127114,91150
"Nakuru",2015,"55-59",37151,22975
"Kirinyaga",2048,"80-84",4766,4766
"Meru",2034,"5-9",231079,214594
"Kisii",2013,"75-79",5240,5240
"Bomet",2077,"30-34",80332,77928
"Embu",2077,"90-94",1959,1959
"Nyandarua",2019,"40-44",33638,323
"Kitui",2037,"90-94",862,862
"Nandi",2001,"55-59",8388,8388
"Nakuru",2072,"10-14",359735,261658
"Meru",2081,"25-29",230913,222001
"Migori",2087,"80-84",26442,26442
"Siaya",2096,"30-34",66191,66189
"Taita Taveta",2086,"20-24",46799,46799
"Kakamega",2054,"90-94",3054,3054
"Wajir",2007,"65-69",4708,4708
"West Pokot",2022,"55-59",17996,15751
"Vihiga",2020,"85-89",1046,1046
"Kisumu",2030,"80-84",4655,4655
"West Pokot",2065,"55-59",48522,42921
"Tharaka-Nithi",2096,"90-94",2365,2363
"Laikipia",2084,"15-19",45361,17686
"Nairobi",2037,"60-64",188640,3176
"Nakuru",2003,"55-59",19465,12067
"Kisumu",2009,"95+",29,29
"Kirinyaga",2013,"85-89",644,644
"Marsabit",2080,"50-54",30619,29874
"Turkana",2008,"80-84",1676,1615
"Tharaka-Nithi",2088,"20-24",35729,35701
"Migori",2076,"25-29",112519,112518
"Bomet",2065,"0-4",98044,95032
"Marsabit",2044,"10-14",47306,45796
"Narok",2010,"15-19",106031,73399
"Busia",2051,"80-84",7764,7764
"Murang'a",2088,"30-34",80914,75290
"Baringo",2095,"45-49",46095,42774
"Isiolo",2072,"20-24",27129,27114
"Vihiga",2098,"25-29",251569,251569
"Mandera",2070,"65-69",142482,142482
"Machakos",2049,"5-9",184356,184356
"Narok",2055,"20-24",132543,92210
"Uasin Gishu",2080,"90-94",7180,6450
"Tharaka-Nithi",2099,"10-14",30993,30971
"Kericho",2018,"85-89",1505,1351
"Busia",2065,"45-49",84249,84247
"Kericho",2070,"40-44",107520,99381
"Narok",2056,"15-19",133366,92779
"Tana River",2051,"80-84",2667,2633
"Bungoma",2070,"75-79",51006,50784
"Mombasa",2049,"50-54",142334,82726
"West Pokot",2062,"80-84",7682,6788
"Trans Nzoia",2054,"60-64",59474,58565
"Machakos",2012,"75-79",4846,4846
"Marsabit",2006,"35-39",15294,14753
"Murang'a",2070,"40-44",90988,83979
"Tana River",2077,"75-79",7876,7780
"Meru",2002,"30-34",80564,74244
"Migori",2065,"60-64",64030,64030
"Nakuru",2061,"80-84",34016,23970
"Kakamega",2094,"40-44",263108,263108
"Kitui",2096,"70-74",46898,46898
"Busia",2065,"30-34",107301,107300
"Elgeyo-Marakwet",2073,"15-19",38005,21533
"Isiolo",2015,"0-4",24968,24920
"Mombasa",2060,"65-69",112446,65452
"Murang'a",2096,"85-89",13183,12319
"Vihiga",2057,"0-4",183461,183461
"Baringo",2090,"40-44",50484,46744
"Elgeyo-Marakwet",2005,"5-9",43205,24539
"Kajiado",2002,"55-59",7678,6341
"Samburu",2033,"50-54",13321,10779
"Elgeyo-Marakwet",2019,"50-54",13620,7721
"Siaya",2046,"55-59",47560,47557
"Laikipia",2002,"80-84",595,310
"Trans Nzoia",2014,"0-4",151703,148509
"Narok",2052,"45-49",93339,64930
"Nyamira",2032,"90-94",492,492
"Embu",2045,"0-4",85647,85647
"Kajiado",2021,"0-4",121536,100068
"Busia",2008,"95+",4,4
"Embu",2019,"0-4",87445,87444
"Wajir",2099,"65-69",115295,115280
"Kakamega",2045,"85-89",5908,5908
"Lamu",2027,"10-14",16699,13937
"Nandi",2051,"45-49",78443,78442
"Marsabit",2064,"75-79",7920,7705
"Meru",2024,"40-44",90468,83484
"Migori",2026,"35-39",73991,73991
"West Pokot",2019,"65-69",7310,6398
"Elgeyo-Marakwet",2041,"15-19",53268,30180
"Embu",2058,"60-64",30295,30295
"Kericho",2021,"85-89",1668,1504
"Machakos",2010,"50-54",26605,26605
"Wajir",2048,"60-64",69875,69859
"Kericho",2076,"30-34",113290,105188
"Baringo",2004,"5-9",66638,60732
"Busia",2024,"30-34",71400,71399
"Laikipia",2062,"90-94",925,417
"Isiolo",2079,"15-19",27250,27237
"Kericho",2012,"35-39",48805,43938
"Migori",2043,"15-19",131733,131729
"Tharaka-Nithi",2087,"25-29",36278,36248
"Turkana",2027,"10-14",141787,137034
"Isiolo",2073,"40-44",25176,25163
"Nyeri",2020,"65-69",7738,5223
"Nyeri",2032,"0-4",108841,75210
"Laikipia",2011,"25-29",35506,18549
"Murang'a",2093,"15-19",73442,68520
"Mandera",2029,"55-59",77670,77670
"Taita Taveta",2047,"30-34",42781,42781
"Baringo",2046,"90-94",669,612
"Elgeyo-Marakwet",2005,"90-94",67,35
"Nandi",2029,"85-89",1650,1650
"Bomet",2059,"0-4",107098,103771
"Kisii",2091,"60-64",260144,260144
"Makueni",2071,"60-64",54252,54252
"Kiambu",2013,"15-19",195023,82615
"Laikipia",2003,"65-69",2811,1467
"Baringo",2047,"60-64",28327,25907
"Kajiado",2041,"55-59",47057,35973
"Embu",2013,"15-19",65167,65167
"Kisumu",2066,"15-19",186994,186994
"Kitui",2097,"20-24",77625,77625
"Marsabit",2003,"55-59",3960,3815
"Garissa",2074,"60-64",166918,166763
"Nakuru",2051,"80-84",22397,15299
"Turkana",2054,"5-9",134082,129846
"Narok",2090,"40-44",71074,49447
"Trans Nzoia",2050,"45-49",102248,100627
"Wajir",2076,"70-74",74657,74644
"Kwale",2060,"0-4",99612,88152
"Kajiado",2026,"5-9",120918,97935
"Kisii",2042,"0-4",254778,254778
"Kajiado",2005,"90-94",133,109
"Taita Taveta",2085,"0-4",44418,44418
"Nyamira",2097,"35-39",103678,103678
"Tana River",2078,"45-49",24740,24438
"Kitui",2075,"45-49",94286,94286
"Nyeri",2063,"45-49",69836,52320
"Elgeyo-Marakwet",2078,"95+",302,173
"Machakos",2099,"65-69",110867,110867
"Homa Bay",2085,"45-49",82913,82908
"Bungoma",2069,"85-89",14693,14631
"Marsabit",2100,"45-49",29518,28952
"Kisii",2010,"35-39",66775,66775
"Trans Nzoia",2018,"80-84",3118,3056
"Kwale",2048,"45-49",62768,56276
"Embu",2037,"50-54",32962,32962
"Lamu",2013,"20-24",11230,9372
"Homa Bay",2032,"20-24",131424,131418
"Busia",2091,"30-34",91504,91503
"Kwale",2094,"25-29",72904,61414
"Baringo",2051,"85-89",2560,2343
"Bungoma",2064,"35-39",213631,212653
"Nandi",2014,"70-74",5393,5393
"Kericho",2084,"5-9",103608,96802
"Kitui",2035,"35-39",93686,93686
"Bomet",2093,"35-39",62161,60389
"Laikipia",2010,"35-39",21978,11551
"Nyandarua",2087,"65-69",33971,256
"Mombasa",2037,"35-39",147994,85829
"Mombasa",2081,"60-64",276036,160976
"Uasin Gishu",2096,"80-84",59633,55208
"Kilifi",2086,"80-84",47707,46322
"Homa Bay",2071,"60-64",65760,65758
"West Pokot",2003,"70-74",2748,2414
"Migori",2057,"85-89",4945,4945
"Kisii",2049,"80-84",15494,15494
"Embu",2035,"50-54",31092,31092
"Kirinyaga",2008,"95+",8,8
"Marsabit",2049,"5-9",46597,45145
"Marsabit",2008,"70-74",1803,1742
"Samburu",2078,"10-14",22572,18267
"Vihiga",2061,"20-24",190570,190570
"Kwale",2011,"10-14",85499,78419
"Isiolo",2069,"90-94",592,591
"Laikipia",2037,"95+",108,49
"Siaya",2024,"80-84",2880,2880
"Bomet",2071,"95+",557,538
"Trans Nzoia",2077,"80-84",24831,24541
"Machakos",2073,"65-69",85358,85358
"Migori",2098,"95+",2179,2179
"Mombasa",2019,"90-94",750,436
"Marsabit",2060,"75-79",6958,6761
"West Pokot",2042,"85-89",1723,1515
"Nyandarua",2073,"45-49",56473,461
"Laikipia",2069,"50-54",39072,16925
"Kirinyaga",2082,"55-59",56517,56515
"Kisii",2051,"80-84",17081,17081
"Uasin Gishu",2057,"0-4",202034,172537
"Nyeri",2075,"65-69",47184,36692
"Marsabit",2019,"40-44",16810,16216
"Nyamira",2004,"15-19",66219,66219
"Garissa",2092,"55-59",238981,238831
"Narok",2059,"90-94",1782,1240
"Samburu",2026,"40-44",17690,14316
"Homa Bay",2058,"25-29",118599,118591
"Isiolo",2067,"30-34",26757,26742
"Tharaka-Nithi",2035,"95+",77,77
"Tana River",2067,"40-44",28182,27837
"Vihiga",2022,"85-89",1096,1096
"Turkana",2094,"50-54",75058,73116
"Samburu",2043,"75-79",3090,2499
"Kericho",2001,"50-54",11797,10607
"Garissa",2015,"20-24",93501,93298
"Laikipia",2012,"25-29",36807,19211
"Kiambu",2087,"95+",6500,1986
"Wajir",2091,"55-59",141939,141918
"Bungoma",2083,"0-4",199354,198608
"Siaya",2051,"10-14",119207,119197
"Makueni",2033,"55-59",34481,34481
"Lamu",2065,"0-4",17095,14998
"Machakos",2068,"65-69",72797,72797
"Nyeri",2064,"75-79",17733,13326
"Kilifi",2025,"55-59",40196,37801
"Mandera",2009,"55-59",15502,15502
"Trans Nzoia",2019,"75-79",5074,4974
"Baringo",2015,"95+",165,148
"Uasin Gishu",2045,"15-19",189189,156939
"Murang'a",2004,"30-34",58691,53533
"Nyamira",2083,"15-19",105760,105760
"Narok",2067,"70-74",33028,22974
"Turkana",2041,"75-79",11239,10867
"West Pokot",2025,"95+",163,143
"Nakuru",2046,"65-69",73812,49621
"Narok",2071,"65-69",50440,35096
"Embu",2049,"0-4",82398,82398
"Narok",2061,"30-34",114684,79784
"Mombasa",2052,"80-84",20416,11871
"Laikipia",2057,"40-44",46607,21512
"Kwale",2059,"5-9",99292,87974
"Nairobi",2006,"80-84",5869,133
"Vihiga",2055,"70-74",36970,36970
"Kajiado",2060,"55-59",82623,58215
"Nairobi",2070,"5-9",1404230,16215
"Murang'a",2063,"30-34",105661,97271
"Siaya",2071,"5-9",93635,93629
"Vihiga",2017,"40-44",30787,30787
"Makueni",2021,"40-44",52114,52114
"Kajiado",2024,"10-14",118834,96901
"Machakos",2059,"35-39",146081,146081
"Samburu",2038,"90-94",222,179
"Kirinyaga",2075,"5-9",74961,74958
"Kilifi",2042,"15-19",197026,186782
"Homa Bay",2011,"15-19",107465,107460
"Isiolo",2008,"30-34",10248,10245
"Lamu",2096,"10-14",13779,12669
"Kiambu",2082,"30-34",457150,141542
"Kwale",2048,"70-74",16710,14981
"Narok",2019,"20-24",113285,78879
"Baringo",2087,"80-84",13857,12815
"Samburu",2082,"5-9",20288,16418
"Bungoma",2077,"5-9",215551,214686
"Kisii",2057,"15-19",281275,281275
"Samburu",2019,"20-24",27582,22313
"Homa Bay",2020,"85-89",1700,1699
"Taita Taveta",2007,"10-14",34818,34818
"Embu",2011,"75-79",2376,2376
"Kwale",2097,"50-54",66448,55701
"Kiambu",2028,"60-64",47398,18892
"Lamu",2067,"30-34",16490,14513
"Nyamira",2067,"90-94",2127,2127
"West Pokot",2006,"90-94",119,104
"Trans Nzoia",2030,"40-44",77435,75997
"Kakamega",2013,"85-89",1805,1805
"Machakos",2091,"15-19",148909,148909
"Garissa",2090,"5-9",256916,256747
"Nyeri",2056,"10-14",97707,71714
"Kwale",2075,"50-54",67592,58644
"Nakuru",2091,"35-39",352086,268116
"Laikipia",2074,"65-69",27148,11394
"Bomet",2006,"80-84",1360,1315
"Kisumu",2041,"60-64",45011,45011
"Kirinyaga",2031,"45-49",33674,33671
"Narok",2032,"20-24",146114,101644
"Kisumu",2056,"85-89",6766,6766
"Mombasa",2000,"90-94",122,72
"Isiolo",2000,"35-39",6096,6096
"Narok",2062,"30-34",114363,79560
"Bungoma",2065,"0-4",238808,237727
"Baringo",2074,"80-84",10240,9429
"Nyamira",2095,"20-24",102085,102085
"Trans Nzoia",2039,"20-24",140728,138282
"Bungoma",2061,"20-24",244126,242982
"Kericho",2016,"50-54",27115,24403
"West Pokot",2036,"90-94",503,444
"Kwale",2085,"50-54",71362,60996
"Kericho",2097,"55-59",87040,82182
"Bomet",2018,"25-29",80209,77624
"Kericho",2001,"45-49",15023,13507
"Isiolo",2052,"75-79",3182,3180
"Kisii",2022,"75-79",6841,6841
"Narok",2025,"10-14",156149,108627
"Kwale",2053,"65-69",29056,25919
"Kiambu",2088,"75-79",191908,58312
"Turkana",2060,"60-64",53961,52287
"Mombasa",2012,"75-79",4191,2404
"Tharaka-Nithi",2019,"95+",116,116
"Homa Bay",2030,"95+",214,214
"Kilifi",2095,"35-39",190279,185581
"Mombasa",2084,"55-59",340927,198855
"Nyandarua",2037,"25-29",79497,737
"Siaya",2080,"25-29",82661,82654
"Baringo",2079,"35-39",60008,55332
"Laikipia",2015,"25-29",40029,20834
"Kajiado",2070,"90-94",3355,2266
"Tana River",2028,"0-4",50107,49493
"Lamu",2033,"75-79",955,802
"Siaya",2023,"30-34",74936,74929
"Kisii",2073,"20-24",307384,307384
"Tana River",2027,"85-89",567,561
"Marsabit",2012,"45-49",10960,10571
"Kirinyaga",2088,"95+",1013,1013
"Nandi",2018,"25-29",82492,82491
"Siaya",2000,"20-24",68613,68612
"Bungoma",2006,"80-84",3069,3054
"Kericho",2028,"0-4",149186,134622
"Kisumu",2085,"40-44",179926,179926
"Kericho",2070,"70-74",39339,36360
"Migori",2033,"0-4",150101,150097
"Busia",2056,"50-54",72732,72730
"Kakamega",2021,"60-64",29781,29781
"Garissa",2035,"50-54",80297,80156
"Wajir",2065,"35-39",177354,177318
"Mandera",2085,"95+",3595,3595
"Baringo",2009,"85-89",494,449
"Nyandarua",2080,"25-29",60882,476
"Machakos",2083,"40-44",152910,152910
"Nyamira",2092,"75-79",43386,43386
"Bungoma",2061,"70-74",63008,62715
"Kakamega",2007,"75-79",5461,5461
"Migori",2016,"70-74",6449,6449
"Kilifi",2013,"95+",236,224
"Meru",2055,"50-54",143618,135445
"Garissa",2023,"90-94",917,917
"Tharaka-Nithi",2058,"40-44",34794,34756
"Narok",2024,"55-59",32549,22642
"Kisii",2082,"40-44",311323,311323
"Homa Bay",2015,"30-34",76084,76082
"Kisumu",2030,"90-94",787,787
"Wajir",2024,"75-79",8594,8591
"West Pokot",2040,"35-39",64753,56862
"Turkana",2082,"75-79",32975,32048
"Kiambu",2024,"50-54",69828,28453
"Kiambu",2052,"75-79",44695,15671
"Lamu",2075,"65-69",8867,7899
"Isiolo",2034,"10-14",24119,24097
"Taita Taveta",2065,"90-94",914,914
"Trans Nzoia",2079,"15-19",147224,145570
"Busia",2072,"15-19",105760,105759
"Makueni",2014,"15-19",104794,104794
"Nairobi",2014,"60-64",45883,1026
"Kisumu",2056,"40-44",142826,142825
"Lamu",2090,"45-49",14197,12941
"Kirinyaga",2054,"25-29",75972,75970
"Tharaka-Nithi",2049,"45-49",28961,28927
"Nyeri",2015,"95+",190,121
"Elgeyo-Marakwet",2016,"55-59",8394,4757
"Siaya",2035,"15-19",115391,115382
"Vihiga",2077,"15-19",224667,224667
"Mombasa",2084,"20-24",429411,250466
"Samburu",2084,"20-24",20265,16403
"Embu",2015,"15-19",66898,66898
"Nairobi",2047,"30-34",846339,12459
"Bungoma",2073,"25-29",222881,221948
"Nyamira",2094,"45-49",99574,99574
"Kirinyaga",2036,"95+",127,127
"Kisii",2067,"20-24",296678,296678
"Kiambu",2090,"0-4",447908,135317
"Machakos",2075,"40-44",154813,154813
"Bomet",2014,"10-14",108927,105374
"Baringo",2048,"25-29",76792,70251
"Kakamega",2027,"55-59",53443,53443
"Wajir",2100,"30-34",150800,150780
"Busia",2016,"25-29",75282,75281
"Garissa",2074,"75-79",66196,66135
"Siaya",2036,"0-4",137504,137494
"Nakuru",2099,"90-94",28786,22266
"Isiolo",2009,"85-89",141,141
"Laikipia",2006,"55-59",5296,2781
"Kericho",2046,"25-29",119399,108661
"Vihiga",2092,"25-29",247189,247189
"Baringo",2086,"25-29",55734,51526
"Kisumu",2037,"70-74",18677,18677
"Wajir",2027,"65-69",23533,23528
"Nandi",2095,"75-79",28422,28422
"Tana River",2034,"15-19",42408,41892
"Tana River",2077,"55-59",19792,19550
"Bungoma",2020,"20-24",182175,181092
"Isiolo",2033,"25-29",20984,20965
"Lamu",2058,"35-39",14414,12514
"Nairobi",2032,"90-94",3754,67
"Trans Nzoia",2001,"65-69",5994,5876
"Busia",2052,"10-14",122082,122079
"Wajir",2027,"50-54",61127,61111
"Kwale",2061,"85-89",4328,3824
"Kakamega",2072,"80-84",40776,40776
"West Pokot",2038,"65-69",15444,13556
"Kiambu",2076,"0-4",436635,138030
"Kilifi",2082,"35-39",192880,186905
"Kajiado",2065,"95+",698,480
"Narok",2096,"60-64",53733,37376
"Garissa",2089,"50-54",249232,249063
"Samburu",2085,"0-4",18733,15161
"Kilifi",2077,"35-39",195894,189311
"Lamu",2021,"5-9",17049,14149
"Nakuru",2026,"65-69",31369,19768
"Nairobi",2064,"5-9",1326642,16183
"Bungoma",2010,"55-59",24703,24579
"Wajir",2079,"70-74",81447,81433
"Baringo",2086,"5-9",52906,48911
"Kisii",2048,"70-74",40704,40704
"Meru",2044,"60-64",66840,62516
"Laikipia",2088,"5-9",41355,15587
"Bomet",2042,"65-69",23222,22484
"Elgeyo-Marakwet",2049,"80-84",3172,1798
"Elgeyo-Marakwet",2083,"0-4",29830,16902
"Laikipia",2056,"75-79",8396,3890
"West Pokot",2054,"75-79",10577,9326
"Samburu",2042,"35-39",27366,22145
"Garissa",2082,"40-44",258730,258527
"Kwale",2018,"45-49",30131,27602
"Kwale",2008,"85-89",560,514
"Elgeyo-Marakwet",2004,"35-39",15262,8651
"Homa Bay",2061,"65-69",40292,40288
"Nyamira",2090,"30-34",105228,105228
"Tana River",2060,"55-59",20722,20467
"Uasin Gishu",2053,"20-24",194231,164286
"Kajiado",2075,"10-14",149167,98509
"Taita Taveta",2095,"70-74",25641,25641
"Busia",2016,"0-4",125911,125909
"Nyeri",2078,"5-9",82758,64966
"Elgeyo-Marakwet",2065,"75-79",8540,4841
"Elgeyo-Marakwet",2051,"95+",123,67
"Elgeyo-Marakwet",2048,"40-44",39025,22114
"Kisumu",2067,"30-34",183350,183348
"Meru",2087,"10-14",222257,214542
"Bungoma",2083,"70-74",103565,103176
"Marsabit",2080,"15-19",36419,35531
"Kakamega",2004,"20-24",131782,131782
"Marsabit",2043,"75-79",3902,3777
"Lamu",2093,"30-34",14733,13492
"Taita Taveta",2015,"0-4",50068,50068
"Nairobi",2086,"50-54",1453632,14888
"Isiolo",2076,"0-4",26366,26352
"Embu",2035,"15-19",77182,77182
"Makueni",2016,"30-34",73135,73135
"Busia",2014,"50-54",22205,22204
"Tana River",2020,"0-4",49030,48428
"Busia",2017,"80-84",2464,2464
"Tharaka-Nithi",2080,"10-14",37909,37874
"Kajiado",2000,"70-74",3004,2481
"West Pokot",2073,"75-79",15966,14171
"Mombasa",2014,"60-64",13083,7555
"Laikipia",2095,"95+",774,270
"Kisii",2009,"30-34",80904,80904
"Kakamega",2038,"10-14",255376,255376
"Kirinyaga",2059,"35-39",67433,67428
"Busia",2072,"20-24",104841,104840
"Mombasa",2042,"55-59",90309,52428
"Bomet",2017,"25-29",79421,76850
"Kirinyaga",2086,"60-64",51275,51273
"Tana River",2047,"5-9",44424,43880
"Elgeyo-Marakwet",2094,"90-94",1602,908
"Tana River",2035,"65-69",6977,6891
"Kisii",2005,"50-54",20762,20762
"Busia",2033,"65-69",17296,17296
"Isiolo",2076,"80-84",4430,4427
"Kitui",2092,"75-79",35511,35511
"Kirinyaga",2083,"15-19",72772,72770
"Narok",2012,"50-54",25391,17572
"Nyamira",2007,"35-39",31931,31931
"Kajiado",2025,"0-4",126859,103112
"Embu",2030,"55-59",20454,20454
"Tharaka-Nithi",2079,"25-29",38228,38195
"Wajir",2083,"10-14",169413,169383
"Embu",2032,"5-9",85766,85766
"Laikipia",2089,"85-89",5877,2195
"Laikipia",2009,"85-89",341,178
"Taita Taveta",2034,"75-79",2869,2869
"Turkana",2050,"15-19",138328,133905
"Tharaka-Nithi",2024,"90-94",221,221
"Kericho",2002,"50-54",12047,10832
"Kericho",2020,"0-4",142243,127998
"Bomet",2013,"30-34",59655,57712
"Kirinyaga",2009,"30-34",37627,37625
"Nyeri",2029,"35-39",55284,37962
"Homa Bay",2057,"40-44",95725,95717
"Nyeri",2059,"45-49",71369,52844
"Kiambu",2065,"45-49",320986,105982
"Bungoma",2017,"95+",550,547
"Kakamega",2028,"50-54",71497,71497
"Baringo",2079,"80-84",11123,10256
"Tharaka-Nithi",2078,"45-49",35128,35097
"Wajir",2042,"85-89",4098,4096
"Garissa",2061,"50-54",181761,181548
"Elgeyo-Marakwet",2004,"45-49",8111,4598
"Nyamira",2045,"75-79",9607,9607
"Mandera",2017,"65-69",19583,19583
"Elgeyo-Marakwet",2021,"50-54",14614,8280
"Tana River",2076,"10-14",28379,28034
"Mombasa",2029,"95+",284,161
"Kajiado",2008,"10-14",80795,66653
"Makueni",2071,"70-74",29476,29476
"Siaya",2092,"95+",1180,1180
"Meru",2087,"40-44",221066,213392
"Machakos",2085,"40-44",151331,151331
"Kiambu",2096,"10-14",464713,138143
"Kakamega",2068,"25-29",273815,273815
"Meru",2030,"20-24",201024,186186
"West Pokot",2025,"10-14",92056,80620
"Lamu",2027,"30-34",10623,8863
"Mombasa",2013,"50-54",26778,15403
"Isiolo",2060,"75-79",4470,4467
"Kisumu",2094,"80-84",55985,55985
"Kisumu",2047,"50-54",84839,84838
"Isiolo",2067,"40-44",23294,23282
"Makueni",2031,"70-74",11030,11030
"Uasin Gishu",2043,"50-54",85185,70323
"Mandera",2048,"25-29",290774,290774
"Elgeyo-Marakwet",2025,"35-39",32038,18155
"Siaya",2041,"10-14",124864,124854
"Laikipia",2080,"50-54",40234,16179
"Kisii",2048,"55-59",104017,104017
"Kakamega",2080,"55-59",203911,203911
"Machakos",2053,"35-39",142081,142081
"Nyeri",2006,"55-59",10038,6796
"Narok",2099,"65-69",45560,31695
"Embu",2061,"15-19",73034,73034
"West Pokot",2068,"50-54",51038,45201
"Kitui",2033,"90-94",780,780
"Nyandarua",2090,"0-4",50265,370
"Laikipia",2007,"10-14",44916,23599
"Busia",2067,"60-64",60733,60732
"Taita Taveta",2093,"15-19",44116,44116
"Kitui",2020,"80-84",3417,3417
"Nakuru",2005,"40-44",57350,35522
"Siaya",2089,"55-59",62846,62842
"Migori",2047,"70-74",20880,20880
"Kajiado",2052,"40-44",112442,82047
"Tharaka-Nithi",2069,"50-54",30237,30207
"Kwale",2010,"85-89",604,553
"Narok",2070,"60-64",65302,45430
"Homa Bay",2079,"35-39",92797,92794
"Kiambu",2017,"75-79",8244,3450
"Mandera",2016,"95+",501,501
"Narok",2029,"65-69",19201,13362
"Kitui",2080,"20-24",102150,102150
"Kilifi",2016,"45-49",50114,46932
"Uasin Gishu",2039,"40-44",105690,86412
"Kirinyaga",2014,"15-19",61719,61713
"Tana River",2071,"60-64",19274,19038
"Nandi",2074,"20-24",90375,90374
"Kiambu",2066,"45-49",325728,107102
"Mombasa",2036,"35-39",140498,81465
"Isiolo",2029,"90-94",119,118
"Nandi",2083,"80-84",17071,17071
"Mombasa",2055,"90-94",3713,2162
"Turkana",2050,"60-64",47475,45963
"Migori",2079,"80-84",20066,20066
"Nandi",2017,"75-79",4168,4168
"Embu",2066,"80-84",8327,8327
"Garissa",2088,"35-39",265183,265000
"Kajiado",2065,"90-94",2676,1845
"Kakamega",2073,"55-59",188587,188587
"Nyandarua",2036,"55-59",26194,245
"Murang'a",2083,"80-84",18639,17300
"Tharaka-Nithi",2016,"75-79",1506,1503
"Nyamira",2080,"95+",1051,1051
"Vihiga",2089,"70-74",124831,124831
"Trans Nzoia",2031,"0-4",168639,165536
"Tana River",2086,"90-94",1027,1014
"Kwale",2093,"40-44",71853,60627
"Laikipia",2016,"10-14",60165,31003
"Kisumu",2032,"55-59",42595,42595
"Tharaka-Nithi",2099,"5-9",30357,30337
"Kisumu",2049,"75-79",19246,19246
"Nyamira",2026,"90-94",441,441
"Uasin Gishu",2028,"5-9",174021,138693
"Turkana",2016,"90-94",577,554
"Siaya",2046,"85-89",2795,2794
"Samburu",2017,"65-69",2802,2263
"Samburu",2079,"5-9",21720,17579
"Trans Nzoia",2011,"70-74",5306,5197
"Mandera",2038,"80-84",12181,12181
"Mandera",2017,"55-59",40806,40806
"West Pokot",2080,"10-14",59359,52856
"Samburu",2018,"70-74",2026,1640
"Laikipia",2002,"30-34",19876,10525
"Taita Taveta",2027,"95+",72,72
"West Pokot",2015,"20-24",61258,53690
"Wajir",2069,"40-44",167104,167071
"Elgeyo-Marakwet",2020,"30-34",34533,19567
"Laikipia",2011,"65-69",3294,1723
"Garissa",2092,"60-64",214854,214716
"Kirinyaga",2087,"90-94",3266,3266
"Kakamega",2027,"60-64",39347,39347
"Homa Bay",2100,"0-4",63976,63975
"Siaya",2009,"85-89",763,763
"Murang'a",2038,"60-64",30690,28064
"Kisii",2077,"45-49",281934,281934
"Kisii",2055,"95+",787,787
"Busia",2003,"0-4",112929,112928
"Nyandarua",2069,"70-74",22011,183
"West Pokot",2087,"75-79",21535,19249
"Busia",2036,"60-64",26663,26662
"West Pokot",2036,"60-64",20238,17759
"Machakos",2000,"20-24",92188,92188
"Uasin Gishu",2064,"0-4",201126,174616
"Kisumu",2068,"0-4",186808,186807
"Elgeyo-Marakwet",2018,"5-9",61142,34666
